"age","risk"
0,0
19,0.00441311692307686
20,0.007171315
22,0.018326693
23,0.039043825
24,0.039043825
25,0.0646644194615385
26,0.0842782711538461
27,0.0950658901538462
28,0.118050873615385
29,0.138155072153846
30,0.152344468269231
31,0.174501992
32,0.188844622
33,0.201900092076923
34,0.228623965692308
35,0.259148023615385
36,0.284891204153846
37,0.308182653846154
38,0.334433693714286
39,0.355378486
40,0.3888446215
41,0.413545817
42,0.42310757
43,0.433466136
44,0.452957400846154
45,0.474103586
47,0.483665339
48,0.493778731076923
51,0.514741036
54,0.533864542
60,0.533864542
